"","original","coarse","fine","combined"
"1","Activated B cells","B cells","too unspecific","too unspecific-B cells"
"2","Activated T cells","too unspecific","too unspecific","too unspecific-too unspecific"
"3","Basophils","others","others","others-others"
"4","B cells","B cells","too unspecific","too unspecific-B cells"
"5","CD4 T cells","CD4 T cells","too unspecific","too unspecific-CD4 T cells"
"6","CD8 T cells","CD8 T cells","too unspecific","too unspecific-CD8 T cells"
"7","Central Memory","too unspecific","too unspecific","too unspecific-too unspecific"
"8","Central Memory CD4 T cells","CD4 T cells","memory CD4 T cells","memory CD4 T cells-CD4 T cells"
"9","Central Memory CD8 T cells","CD8 T cells","memory CD8 T cells","memory CD8 T cells-CD8 T cells"
"10","Central Memory T cells","too unspecific","too unspecific","too unspecific-too unspecific"
"11","Dendritic cells","monocytic lineage","myeloid dendritic cells","myeloid dendritic cells-monocytic lineage"
"12","Effector CD4 T cells","CD4 T cells","too unspecific","too unspecific-CD4 T cells"
"13","Effector Memory","too unspecific","too unspecific","too unspecific-too unspecific"
"14","Effector Memory CD8 T cells","CD8 T cells","regulatory T cells","regulatory T cells-CD8 T cells"
"15","Effector Memory T cells","too unspecific","too unspecific","too unspecific-too unspecific"
"16","endothelial","endothelial cells","endothelial cells","endothelial cells-endothelial cells"
"17","Eosinophils","others","others","others-others"
"18","fibroblast","fibroblasts","fibroblasts","fibroblasts-fibroblasts"
"19","Follicular helper T cells","CD4 T cells","too unspecific","too unspecific-CD4 T cells"
"20","gamma delta T cells","others","others","others-others"
"21","GC B cells","B cells","too unspecific","too unspecific-B cells"
"22","Granulocytes","neutrophils","neutrophils","neutrophils-neutrophils"
"23","Macrophage","monocytic lineage","macrophages","macrophages-monocytic lineage"
"24","Memory B cells","B cells","memory B cells","memory B cells-B cells"
"25","Memory CD4 T cells","CD4 T cells","memory CD4 T cells","memory CD4 T cells-CD4 T cells"
"26","Memory CD8 T cells","CD8 T cells","memory CD8 T cells","memory CD8 T cells-CD8 T cells"
"27","Memory T cells","too unspecific","too unspecific","too unspecific-too unspecific"
"28","Monocytes","monocytic lineage","monocytes","monocytes-monocytic lineage"
"29","Myeloid Dendritic cells","monocytic lineage","myeloid dendritic cells","myeloid dendritic cells-monocytic lineage"
"30","Naive B cells","B cells","naive B cells","naive B cells-B cells"
"31","Naive CD4 T cells","CD4 T cells","naive CD4 T cells","naive CD4 T cells-CD4 T cells"
"32","Naive CD8 T cells","CD8 T cells","naive CD8 T cells","naive CD8 T cells-CD8 T cells"
"33","Naive T cells","too unspecific","too unspecific","too unspecific-too unspecific"
"34","Naive T effector cells","too unspecific","too unspecific","too unspecific-too unspecific"
"35","Neutrophils","neutrophils","neutrophils","neutrophils-neutrophils"
"36","NK cells","NK cells","NK cells","NK cells-NK cells"
"37","NKT cells","others","others","others-others"
"38","PBMC","too unspecific","too unspecific","too unspecific-too unspecific"
"39","Plasma cells","B cells","others","others-B cells"
"40","Plasmablast","B cells","others","others-B cells"
"41","Plasmacytoid Dendritic Cells","others","others","others-others"
"42","T cells","too unspecific","too unspecific","too unspecific-too unspecific"
"43","Th1 cells","CD4 T cells","others","others-CD4 T cells"
"44","Th2 cells","CD4 T cells","others","others-CD4 T cells"
"45","Th17 cells","CD4 T cells","others","others-CD4 T cells"
"46","Tregs","CD4 T cells","regulatory T cells","regulatory T cells-CD4 T cells"
"47","White blood cells","others","too unspecific","too unspecific-others"
